Speaker	Task	Label	TokNum	T	R	AAAmeta
BM	base	S	93	0.536	72.4363	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.4963	71.9745	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.4566	71.7547	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.4169	71.4806	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.3772	71.2065	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.3375	70.6879	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.2978	69.9619	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.2581	68.9297	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.2184	68.2975	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.1787	67.7295	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.139	67.3097	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.0993	66.4504	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.0596	65.7787	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.0199	64.6872	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	-0.0199	64.0698	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	-0.0596	62.356	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	-0.0993	62.0226	Tongue S 5/24/2017 6:51:26 PM 93
